%

% As used by Kilpatrick, D. & Cameron-Jones, M. (1998). Numeric prediction

% using instance-based learning with encoding length selection. In Progress

% in Connectionist-Based Information Systems. Singapore: Springer-Verlag.

%



@relation 'cpu'

@attribute vendor { adviser, amdahl, apollo, basf, bti, burroughs, c.r.d, cdc, cambex, dec, dg, formation, four-phase, gould, hp, harris, honeywell, ibm, ipl, magnuson, microdata, nas, ncr, nixdorf, perkin-elmer, prime, siemens, sperry, sratus, wang}

@attribute MYCT real

@attribute MMIN real

@attribute MMAX real

@attribute CACH real

@attribute CHMIN real

@attribute CHMAX real

@attribute GRAPHICS real
@attribute MEMORY real

@attribute games_class real

@data

adviser,125,256,6000,256,16,128,0,3,0
amdahl,29,8000,32000,32,8,32,0,1,1
amdahl,29,8000,32000,32,8,32,1,1,0
amdahl,29,8000,32000,32,8,32,1,2,0
amdahl,29,8000,16000,32,8,16,1,2,0
amdahl,26,8000,32000,64,8,32,1,2,1
amdahl,23,16000,32000,64,16,32,1,3,1
amdahl,23,16000,32000,64,16,32,0,4,1
amdahl,23,16000,64000,64,16,32,0,4,0
amdahl,23,32000,64000,128,32,64,0,4,0
apollo,400,1000,3000,0,1,2,0,2,0
apollo,400,512,3500,4,1,6,1,3,0
basf,60,2000,8000,65,1,8,1,4,1
basf,50,4000,16000,65,1,8,0,2,0
bti,350,64,64,0,1,4,1,1,1
bti,200,512,16000,0,4,32,0,1,0
burroughs,167,524,2000,8,4,15,1,4,0
burroughs,143,512,5000,0,7,32,1,3,1
burroughs,143,1000,2000,0,5,16,0,4,0
burroughs,110,5000,5000,142,8,64,0,3,0
burroughs,143,1500,6300,0,5,32,0,2,0
burroughs,143,3100,6200,0,5,20,0,2,0
burroughs,143,2300,6200,0,6,64,0,2,1
burroughs,110,3100,6200,0,6,64,0,1,0
c.r.d,320,128,6000,0,1,12,1,2,0
c.r.d,320,512,2000,4,1,3,0,2,1
c.r.d,320,256,6000,0,1,6,1,4,1
c.r.d,320,256,3000,4,1,3,1,3,0
c.r.d,320,512,5000,4,1,5,1,3,1
c.r.d,320,256,5000,4,1,6,1,1,1
cdc,25,1310,2620,131,12,24,1,4,1
cdc,25,1310,2620,131,12,24,1,2,0
cdc,50,2620,10480,30,12,24,0,1,0
cdc,50,2620,10480,30,12,24,1,1,1
cdc,56,5240,20970,30,12,24,0,4,0
cdc,64,5240,20970,30,12,24,1,4,0
cdc,50,500,2000,8,1,4,0,1,1
cdc,50,1000,4000,8,1,5,1,2,1
cdc,50,2000,8000,8,1,5,1,4,0
cambex,50,1000,4000,8,3,5,0,3,0
cambex,50,1000,8000,8,3,5,0,1,0
cambex,50,2000,16000,8,3,5,1,2,1
cambex,50,2000,16000,8,3,6,1,2,0
cambex,50,2000,16000,8,3,6,0,1,1
dec,133,1000,12000,9,3,12,0,2,0
dec,133,1000,8000,9,3,12,1,3,0
dec,810,512,512,8,1,1,0,4,1
dec,810,1000,5000,0,1,1,0,3,0
dec,320,512,8000,4,1,5,0,3,0
dec,200,512,8000,8,1,8,0,3,1
dg,700,384,8000,0,1,1,0,1,1
dg,700,256,2000,0,1,1,1,1,0
dg,140,1000,16000,16,1,3,0,4,0
dg,200,1000,8000,0,1,2,1,2,0
dg,110,1000,4000,16,1,2,0,1,0
dg,110,1000,12000,16,1,2,0,3,1
dg,220,1000,8000,16,1,2,0,1,1
formation,800,256,8000,0,1,4,0,2,1
formation,800,256,8000,0,1,4,1,2,0
formation,800,256,8000,0,1,4,1,1,0
formation,800,256,8000,0,1,4,0,1,0
formation,800,256,8000,0,1,4,0,3,0
four-phase,125,512,1000,0,8,20,0,3,1
gould,75,2000,8000,64,1,38,0,1,0
gould,75,2000,16000,64,1,38,0,3,1
gould,75,2000,16000,128,1,38,0,3,0
hp,90,256,1000,0,3,10,1,2,1
hp,105,256,2000,0,3,10,1,3,1
hp,105,1000,4000,0,3,24,1,1,1
hp,105,2000,4000,8,3,19,0,3,0
hp,75,2000,8000,8,3,24,1,3,1
hp,75,3000,8000,8,3,48,1,3,0
hp,175,256,2000,0,3,24,0,2,0
harris,300,768,3000,0,6,24,0,2,0
harris,300,768,3000,6,6,24,1,1,1
harris,300,768,12000,6,6,24,1,2,0
harris,300,768,4500,0,1,24,1,2,0
harris,300,384,12000,6,1,24,0,2,1
harris,300,192,768,6,6,24,0,1,1
harris,180,768,12000,6,1,31,0,4,0
honeywell,330,1000,3000,0,2,4,1,2,0
honeywell,300,1000,4000,8,3,64,0,1,0
honeywell,300,1000,16000,8,2,112,0,1,0
honeywell,330,1000,2000,0,1,2,1,4,1
honeywell,330,1000,4000,0,3,6,0,3,0
