lymphatics class 
block_of_affere extravasates class 
bl_of_lymph_c no_of_nodes_in class 
bl_of_lymph_s no_of_nodes_in class 
by_pass no_of_nodes_in class 
extravasates changes_in_stru class 
regeneration_of no_of_nodes_in class 
early_uptake_in no_of_nodes_in class 
lym_nodes_dimin no_of_nodes_in class 
lym_nodes_enlar no_of_nodes_in class 
changes_in_lym changes_in_stru class 
defect_in_node changes_in_node class 
changes_in_node changes_in_stru class 
changes_in_stru lymphatics class 
special_forms defect_in_node class 
dislocation_of no_of_nodes_in class 
exclusion_of_no changes_in_stru class 
no_of_nodes_in changes_in_stru class 
class no_of_nodes_in class 

malign_lymph malign_lymph 0.999931934800
malign_lymph malign_lymph 0.999829823675
metastases malign_lymph 0.651512009891
metastases malign_lymph 0.661916512981
malign_lymph malign_lymph 0.987631552271
malign_lymph malign_lymph 0.997855806029
malign_lymph malign_lymph 0.964375459243
malign_lymph malign_lymph 0.985010505743
malign_lymph malign_lymph 0.999751471114
malign_lymph malign_lymph 0.992784813892
malign_lymph malign_lymph 0.601919091985
malign_lymph malign_lymph 0.920609067653
malign_lymph malign_lymph 0.999740871103
malign_lymph malign_lymph 0.732802128713
malign_lymph malign_lymph 0.629084599385
malign_lymph malign_lymph 0.999811675515
metastases malign_lymph 0.939395984703
malign_lymph malign_lymph 0.999690979634
metastases metastases 0.995212758234
metastases metastases 0.999663180189
metastases metastases 0.985479173356
metastases metastases 0.999931242831
metastases metastases 0.819480937780
metastases metastases 0.995973082076
metastases metastases 0.999739435069
metastases metastases 0.997356504367
metastases metastases 0.999730145161
metastases metastases 0.999560323125
metastases metastases 0.999618400830
metastases metastases 0.979307020820
metastases metastases 0.999216474877
metastases metastases 0.989460745288
metastases metastases 0.996443104727
metastases metastases 0.993090504945
metastases metastases 0.998567670497
metastases metastases 0.998805023926
metastases metastases 0.941039410469
metastases metastases 0.996570683941
metastases metastases 0.985587809756
metastases metastases 0.985774476741
metastases metastases 0.939292639093
metastases metastases 0.974697663491

39
